,Brand,Capacity,Door_Type,Cool_type,Star_rating,Digital_inverter,Rating,No_of_rating,No_of_review,Compressor_type,Built_in_stablizer,Product_warranty,Compressor_warranty,Price,Original_price,Discount
0,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹16,390","₹22,999",28% off
1,SAMSUNG,236 L,Double Door,,2 Star,yes,4.4,"20,900 Ratings","1,504 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹24,990","₹35,990",30% off
2,SAMSUNG,183 L,Single Door, Direct Cool,4 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹16,390","₹22,999",28% off
3,SAMSUNG,236 L,Double Door,,3 Star,yes,4.4,"20,900 Ratings","1,504 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹26,990","₹40,990",34% off
4,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
5,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
6,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
7,Haier,190 L,Single Door, Direct Cool,4 Star,no,4.4,"16,705 Ratings","1,279 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹15,490","₹23,990",35% off
8,Admiral,175 L,Single Door, Direct Cool,3 Star,no,4.1,233 Ratings,21 Reviews,Reciprocating Compressor,yes,3 Years, 5 ,"₹10,290","₹19,499",47% off
9,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
10,Haier,190 L,Single Door, Direct Cool,5 Star,no,4.4,"16,183 Ratings","1,243 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹16,490","₹24,490",32% off
11,Whirlpool,207 L,Single Door, Direct Cool,5 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹18,490","₹25,850",28% off
12,Whirlpool,184 L,Single Door, Direct Cool,2 Star,no,4.3,"14,017 Ratings",765 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹11,790","₹15,400",23% off
13,Haier,185 L,Single Door, Direct Cool,2 Star,no,4.3,"7,737 Ratings",550 Reviews,Normal Compressor,yes,1 Year, 10 ,"₹11,990","₹17,090",29% off
14,LG,185 L,Single Door, Direct Cool,5 Star,no,4.5,"15,862 Ratings","1,018 Reviews",Smart Inverter Compressor,yes,1 Year, 10 ,"₹17,690","₹23,899",25% off
15,SAMSUNG,183 L,Single Door, Direct Cool,5 Star,yes,4.5,"65,317 Ratings","4,293 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹17,490","₹22,999",23% off
16,Haier,190 L,Single Door, Direct Cool,4 Star,no,4.4,"16,705 Ratings","1,279 Reviews",Normal Compressor,yes,1 Year, 10 ,"₹14,990","₹20,990",28% off
17,SAMSUNG,189 L,Single Door, Direct Cool,5 Star,yes,4.5,"12,919 Ratings",878 Reviews,Digital Inverter Compressor,yes,1 year, 20 ,"₹17,990","₹21,999",18% off
18,Whirlpool,184 L,Single Door, Direct Cool,4 Star,no,4.3,"15,637 Ratings","1,110 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹15,790","₹20,700",23% off
19,SAMSUNG,223 L,Single Door, Direct Cool,3 Star,yes,4.4,"14,564 Ratings","1,432 Reviews",Digital Inverter Compressor,yes,1 year, 20 ,"₹19,590","₹25,999",24% off
20,Whirlpool,270 L,Triple Door,,,no,4.3,"25,002 Ratings","2,543 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹28,490","₹38,300",25% off
21,Voltas,183 L,Single Door, Direct Cool,3 Star,no,4.3,"5,271 Ratings",346 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹13,490","₹25,190",46% off
22,MarQ,90 L,Single Door, Direct Cool,1 Star,no,4.2,"5,006 Ratings",543 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹8,990","₹14,990",40% off
23,Godrej,234 L,Single Door, Direct Cool,5 Star,no,4.3,"4,434 Ratings",382 Reviews,Inverter Compressor,yes,1 Year, 10 ,"₹19,890","₹24,000",17% off
24,Whirlpool,235 L,Triple Door,,,no,4.3,"25,002 Ratings","2,543 Reviews",Inverter Compressor,yes,1 Year, 9 ,"₹25,990","₹34,190",23% off
25,Voltas,183 L,Single Door, Direct Cool,2 Star,no,4.3,"5,271 Ratings",346 Reviews,Reciprocating Compressor,yes,1 Year, 10 ,"₹12,590","₹25,990",51% off
